iter	Logloss
0	0.3526882921
1	0.3469343156
2	0.3460924854
3	0.3455764394
4	0.3453322756
5	0.3448873555
6	0.3448090822
7	0.3442971155
8	0.3442447474
9	0.3441286798
10	0.3438032093
11	0.3431573238
12	0.3430767494
13	0.3430015443
14	0.3429568814
15	0.3420544897
16	0.3419287643
17	0.3415842571
18	0.341409964
19	0.3411518538
20	0.3410593205
21	0.3408990084
22	0.3408045226
23	0.3407614287
24	0.3407077008
25	0.3406174686
26	0.3405570465
27	0.3404800981
28	0.3404371785
29	0.3404111339
30	0.3404000815
31	0.3403771748
32	0.3403574757
33	0.3403227147
34	0.3401922476
35	0.3401633789
36	0.3401422503
37	0.3401255845
38	0.3400604904
39	0.3400405822
40	0.3399937577
41	0.3399543944
42	0.3399058963
43	0.3398994462
44	0.3398286341
45	0.339796244
46	0.3397796131
47	0.3397589029
48	0.3395731738
49	0.3395280925
50	0.3395140068
51	0.3395081494
52	0.3394951097
53	0.3394820699
54	0.339462859
55	0.3394172548
56	0.3394048775
57	0.3393713716
58	0.3393549499
59	0.3393475235
60	0.3393423634
61	0.3393158656
62	0.3392980841
63	0.3392751077
64	0.3392320138
65	0.3392104668
66	0.3392001466
67	0.3391851893
68	0.339176438
69	0.3391733698
70	0.3391543681
71	0.3391460352
72	0.3391292299
73	0.3391261966
74	0.339121699
75	0.3391106117
76	0.3390998382
77	0.3390934578
78	0.3390221577
79	0.339012465
80	0.3389926962
81	0.3389782618
82	0.3389694757
83	0.3389523218
84	0.3389405373
85	0.3389276718
86	0.3389133421
87	0.3389007207
88	0.33889312
89	0.3388711547
90	0.3388604509
91	0.3388504794
92	0.3388401243
93	0.3388295949
94	0.338819693
95	0.3388107326
96	0.3387960193
97	0.3387726942
98	0.3387665927
99	0.3387580855
100	0.3387526465
101	0.3387469982
102	0.3387370267
103	0.338731762
104	0.3387283103
105	0.3387217904
106	0.3387215115
107	0.338714364
108	0.3387078093
109	0.3386755935
110	0.3386688644
111	0.3386486424
112	0.3386429593
113	0.3386381827
114	0.3386347658
115	0.3386265724
116	0.3386210637
117	0.3385821188
118	0.3385630821
119	0.3385588983
120	0.3385520995
121	0.3385382927
122	0.3385313196
123	0.3385161182
124	0.3385146887
125	0.3385047868
126	0.3384787771
127	0.3384693982
128	0.3384644125
129	0.3384559053
130	0.3384479559
131	0.3384412617
132	0.3384325802
133	0.33842742
134	0.338423271
135	0.3384153217
136	0.3384071283
137	0.3383986211
138	0.3383637206
139	0.3383536095
140	0.338347264
141	0.338337397
142	0.338324427
143	0.3383175236
144	0.3383071686
145	0.3382986265
146	0.3382877135
147	0.3382811588
148	0.3382771493
149	0.3382725121
150	0.3382662712
151	0.3382189237
152	0.3382137287
153	0.3382070345
154	0.3382033736
155	0.3381853132
156	0.3381817569
157	0.3381776428
158	0.3381738076
159	0.3381678804
160	0.3381644985
161	0.3381525396
162	0.3381366408
163	0.3381300512
164	0.3381260068
165	0.3381209165
166	0.3381188942
167	0.3381119211
168	0.3381073537
169	0.3380863995
170	0.3380802631
171	0.3380720697
172	0.3380664564
173	0.3380630395
174	0.3380547415
175	0.3380420156
176	0.3380384244
177	0.3380330551
178	0.3380280345
179	0.3380277904
180	0.3380230487
181	0.3380165637
182	0.3380134955
183	0.3380005952
184	0.3379955397
185	0.3379947029
186	0.3379880436
187	0.3379786299
188	0.3379756314
189	0.3379691813
190	0.3379641955
191	0.3379596979
192	0.3379408356
193	0.3379374187
194	0.3379370003
195	0.3379339322
196	0.3379263663
197	0.3379192886
198	0.3379117228
199	0.3379082362
200	0.3378584481
201	0.3378520677
202	0.3378477444
203	0.3378401785
204	0.3378365874
205	0.3378317759
206	0.337822153
207	0.3378197822
208	0.3378124255
209	0.3378068122
210	0.3377930402
211	0.3377844633
212	0.3377812557
213	0.3377746312
214	0.3377693316
215	0.3377636834
216	0.3377420318
217	0.3377367671
218	0.3377162662
219	0.3377152202
220	0.3377137907
221	0.3377109666
222	0.3377094674
223	0.3377062597
224	0.337699182
225	0.3376945798
226	0.337690361
227	0.3376824117
228	0.3376812611
229	0.3376709757
230	0.3376668267
231	0.3376638631
232	0.3376594701
233	0.3376564716
234	0.337649115
235	0.3376443035
236	0.3376364936
237	0.3376265569
238	0.3376218152
239	0.3376182938
240	0.3376115647
241	0.3376071717
242	0.3376047659
243	0.3376014886
244	0.3375942714
245	0.3375913078
246	0.3375740842
247	0.3375736658
248	0.3375699352
249	0.3375624739
250	0.3375489461
251	0.3375465055
252	0.3375436814
253	0.3375355228
254	0.337532629
255	0.3375259697
256	0.3375226923
257	0.3375163467
258	0.3375012848
259	0.3374960201
260	0.3374935446
261	0.3374895351
262	0.3374847934
263	0.3374797378
264	0.3374785873
265	0.3374759724
266	0.3374740199
267	0.3374734969
268	0.3374653384
269	0.3374612242
270	0.3374549833
271	0.3374510086
272	0.3374482542
273	0.3374444887
274	0.3374435473
275	0.337442083
276	0.3374392937
277	0.3374339244
