iter	Passed	Remaining
0	163	163413
1	309	154377
2	426	141800
3	552	137603
4	678	135058
5	816	135198
6	945	134056
7	1073	133139
8	1212	133471
9	1354	134054
10	1483	133411
11	1611	132662
12	1737	131906
13	1893	133371
14	2056	135037
15	2181	134158
16	2306	133352
17	2432	132686
18	2556	132015
19	2711	132862
20	2839	132361
21	2966	131883
22	3093	131412
23	3237	131671
24	3380	131851
25	3508	131450
26	3630	130833
27	3768	130822
28	3943	132052
29	4076	131810
30	4213	131696
31	4335	131153
32	4456	130588
33	4578	130081
34	4704	129700
35	4834	129466
36	4962	129164
37	5093	128933
38	5218	128581
39	5358	128614
40	5486	128324
41	5610	127981
42	5734	127634
43	5860	127337
44	5983	126978
45	6111	126737
46	6265	127041
47	6388	126704
48	6508	126322
49	6633	126030
50	6765	125885
51	6929	126327
52	7057	126095
53	7187	125907
54	7318	125740
55	7444	125487
56	7570	125240
57	7696	125001
58	7821	124743
59	7946	124490
60	8070	124232
61	8193	123956
62	8311	123617
63	8476	123964
64	8615	123930
65	8739	123681
66	8880	123669
67	9007	123459
68	9137	123296
69	9264	123080
70	9393	122907
71	9524	122759
72	9647	122513
73	9803	122670
74	9947	122683
75	10068	122405
76	10189	122135
77	10321	122006
78	10442	121738
79	10564	121494
80	10686	121240
81	10815	121085
82	10940	120869
83	11069	120713
84	11202	120592
85	11330	120416
86	11458	120243
87	11586	120077
88	11710	119872
89	11835	119670
90	11956	119429
91	12078	119210
92	12201	118996
93	12326	118810
94	12449	118599
95	12573	118405
96	12699	118227
97	12827	118065
98	12953	117886
99	13079	117719
100	13206	117549
101	13334	117391
102	13462	117243
103	13588	117067
104	13712	116880
105	13836	116698
106	13955	116473
107	14076	116264
108	14236	116376
109	14408	116580
110	14583	116799
111	14705	116595
112	14828	116395
113	14965	116312
114	15090	116130
115	15265	116336
116	15432	116472
117	15561	116311
118	15690	116162
119	15849	116231
120	15979	116081
121	16100	115867
122	16220	115655
123	16385	115754
124	16504	115532
125	16626	115328
126	16752	115158
127	16885	115031
128	17018	114909
129	17147	114756
130	17275	114597
131	17405	114451
132	17529	114268
133	17653	114089
134	17778	113914
135	17904	113746
136	18027	113562
137	18154	113401
138	18278	113223
139	18405	113064
140	18525	112863
141	18652	112701
142	18775	112523
143	18902	112364
144	19028	112202
145	19157	112060
146	19291	111945
147	19416	111773
148	19540	111602
149	19667	111448
150	19792	111284
151	19918	111122
152	20042	110952
153	20168	110796
154	20289	110607
155	20412	110438
156	20534	110259
157	20655	110077
158	20780	109916
159	20910	109782
160	21042	109656
161	21170	109510
162	21300	109379
163	21430	109243
164	21557	109091
165	21680	108926
166	21804	108761
167	21929	108600
168	22053	108440
169	22180	108291
170	22301	108117
171	22424	107951
172	22545	107776
173	22674	107637
174	22802	107497
175	22931	107359
176	23061	107229
177	23194	107113
178	23320	106962
179	23466	106901
180	23593	106756
181	23719	106609
182	23843	106447
183	23966	106284
184	24089	106124
185	24215	105975
186	24334	105794
187	24461	105652
188	24583	105488
189	24707	105333
190	24829	105169
191	25005	105233
192	25187	105317
193	25316	105179
194	25438	105015
195	25564	104866
196	25688	104708
197	25814	104563
198	25937	104402
199	26062	104248
200	26181	104076
201	26307	103929
202	26432	103775
203	26560	103639
204	26689	103504
205	26812	103346
206	26937	103196
207	27084	103128
208	27211	102985
209	27382	103009
210	27550	103019
211	27685	102907
212	27804	102733
213	27930	102586
214	28054	102433
215	28177	102274
216	28299	102112
217	28423	101958
218	28542	101790
219	28685	101703
220	28808	101545
221	28933	101398
222	29064	101267
223	29197	101148
224	29326	101012
225	29456	100881
226	29581	100732
227	29723	100643
228	29841	100470
229	29971	100338
230	30095	100188
231	30218	100034
232	30340	99875
233	30464	99724
234	30584	99563
235	30712	99426
236	30842	99294
237	30969	99155
238	31094	99008
239	31225	98879
240	31355	98751
241	31482	98609
242	31605	98456
243	31730	98312
244	31854	98164
245	31980	98022
246	32103	97868
247	32228	97724
248	32354	97582
249	32480	97441
250	32605	97297
251	32730	97152
252	32854	97006
253	32984	96875
254	33116	96753
255	33246	96622
256	33375	96489
257	33500	96347
258	33623	96197
259	33751	96062
260	33873	95910
261	33998	95768
262	34121	95617
263	34242	95464
264	34363	95310
265	34488	95166
266	34608	95012
267	34738	94882
268	34861	94734
269	34990	94602
270	35115	94461
271	35247	94339
272	35381	94221
273	35508	94084
274	35677	94058
275	35836	94006
276	35959	93857
277	36079	93702
278	36202	93555
279	36323	93402
280	36494	93379
281	36615	93226
282	36738	93080
283	36866	92943
284	36995	92813
285	37121	92673
286	37279	92615
287	37406	92476
288	37532	92336
289	37656	92192
290	37782	92054
291	37907	91913
292	38029	91763
293	38152	91617
294	38271	91461
295	38395	91319
296	38515	91165
297	38638	91020
298	38763	90880
299	38887	90736
300	39015	90603
301	39150	90486
302	39306	90418
303	39435	90286
304	39561	90147
305	39688	90011
306	39809	89863
307	39940	89736
308	40062	89590
309	40187	89450
310	40306	89297
311	40431	89157
312	40549	89002
313	40676	88867
314	40805	88735
315	40936	88609
316	41067	88483
317	41202	88365
318	41334	88239
319	41460	88103
320	41585	87964
321	41709	87822
322	41837	87689
323	41966	87559
324	42089	87416
325	42211	87271
326	42335	87130
327	42459	86990
328	42578	86840
329	42708	86711
330	42836	86578
331	42967	86453
332	43100	86331
333	43227	86195
334	43354	86061
335	43481	85928
336	43605	85786
337	43731	85651
338	43858	85516
339	43983	85379
340	44105	85236
341	44230	85097
342	44396	85039
343	44515	84890
344	44639	84750
345	44771	84626
346	44899	84494
347	45028	84363
348	45155	84230
349	45288	84107
350	45417	83976
351	45542	83839
352	45665	83698
353	45789	83559
354	45910	83414
355	46036	83279
356	46160	83140
357	46285	83003
358	46407	82861
359	46535	82730
360	46662	82596
361	46792	82468
362	46921	82338
363	47054	82215
364	47181	82082
365	47306	81945
366	47432	81811
367	47559	81677
368	47685	81543
369	47812	81411
370	47964	81320
371	48088	81182
372	48210	81040
373	48334	80902
374	48458	80764
375	48580	80622
376	48706	80488
377	48838	80363
378	48963	80227
379	49093	80100
380	49226	79977
381	49356	79848
382	49485	79719
383	49612	79586
384	49736	79448
385	49861	79313
386	49983	79173
387	50111	79042
388	50233	78902
389	50354	78759
390	50477	78620
391	50600	78482
392	50724	78344
393	50855	78219
394	50985	78091
